cblaster search
===============
AB196490
========
AB196490.1
----------
Cluster 1, score 40.1350:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89998.1  AAS90092.1  98.3      100       0          1012      13469  15450  +     
AAS89999.1  AAS90093.1  96.7      100       0          4126      17108  23732  -     
AAS90000.1  AAS90110.1  96.7      100       1.25e-187  519       25421  26411  +     
AAS90001.1  AAS90111.1  96.2      100       0          3148      27718  32839  -     
AAS90002.1  AAS90095.1  96.3      100       0          3702      33552  39399  -     
AAS90003.1  AAS90091.1  93.7      100       1.22e-290  794       40668  42003  -     
AAS90004.1  AAS90096.1  95.9      100       5.55e-298  812       42742  44195  +     
AAS90005.1  AAS90097.1  94.6      100       1.45e-189  525       44758  45595  +     
AAS90006.1  AAS90098.1  95.5      100       4.55e-232  635       46514  47516  +     
AAS90007.1  AAS90094.1  97.4      100       1.49e-288  784       47806  49091  +     
AAS90008.1  AAS90099.1  99.6      100       1.71e-185  513       49905  50805  +     
AAS90009.1  AAS90100.1  94.7      99.8      0          961       51837  53373  +     
AAS90010.1  AAS90101.1  95.6      99.8      0          982       54427  56019  -     
AAS90011.1  AAS90102.1  98.2      100       0          985       56386  57943  -     
AAS90017.1  AAS90112.1  91.5      98.9      1.74e-182  507       58969  59827  -     
AAS90012.1  AAS90103.1  97.2      100       2.64e-281  766       60006  61341  -     
AAS90018.1  AAS90104.1  94        100       3.14e-287  783       62597  64084  -     
AAS90013.1  AAS90105.1  96.2      100       0          1066      65333  67284  +     
AAS90019.1  AAS90106.1  97.4      100       0          1261      67798  69785  +     
AAS90014.1  AAS90107.1  95.9      100       0          1007      70354  72003  -     
AAS90015.1  AAS90108.1  96        97.5      0          988       72615  74361  +     
AAS90016.1  AAS90109.1  94.7      100       8.13e-186  514       74627  75428  -     
AAS90020.1  AAS90113.1  93.9      99.6      0          955       75782  77383  -     


AY510452
========
AY510452.1
----------
Cluster 5, score 52.0215:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  AAS89996.1  100       100       3.53e-293  795       12295  13444  -     
AAS89997.1  AAS89997.1  100       100       0          1012      13720  15482  +     
AAS89998.1  AAS89998.1  100       100       0          1033      16160  18141  +     
AAS89999.1  AAS89999.1  100       100       0          4261      19823  26450  -     
AAS90000.1  AAS90000.1  100       100       1.21e-194  537       28181  29171  +     
AAS90001.1  AAS90001.1  100       100       0          3266      30473  35594  -     
AAS90002.1  AAS90002.1  100       100       0          3845      36314  42159  +     
AAS90003.1  AAS90003.1  100       100       1.19e-306  834       43623  44928  -     
AAS90004.1  AAS90004.1  100       100       1.52e-311  847       45675  47142  +     
AAS90005.1  AAS90005.1  100       100       1.42e-200  552       47692  48523  +     
AAS90006.1  AAS90006.1  100       100       2.28e-241  659       49449  50449  +     
AAS90007.1  AAS90007.1  100       100       1.45e-295  802       50684  51969  +     
AAS90008.1  AAS90008.1  100       100       5.97e-186  514       52797  53697  +     
AAS90009.1  AAS90009.1  100       100       0          1013      54730  56267  +     
AAS90010.1  AAS90010.1  100       100       0          1021      57319  58918  -     
AAS90011.1  AAS90011.1  100       100       0          1001      59315  60861  -     
AAS90017.1  AAS90017.1  100       100       8.92e-204  561       61870  62728  -     
AAS90012.1  AAS90012.1  100       100       2.11e-287  781       62900  64235  -     
AAS90018.1  AAS90018.1  100       100       1.23e-309  840       65518  67004  -     
AAS90013.1  AAS90013.1  100       100       0          1099      68326  70271  +     
AAS90019.1  AAS90019.1  100       100       0          1291      70784  72769  +     
AAS90014.1  AAS90014.1  100       100       0          1047      73346  74994  -     
AAS90015.1  AAS90015.1  100       100       0          1048      75609  77076  +     
AAS90016.1  AAS90016.1  100       100       4.25e-197  543       77626  78427  -     
AAS90020.1  AAS90020.1  100       100       0          1013      78786  80379  -     


AY510453
========
AY510453.1
----------
Cluster 6, score 47.7382:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89998.1  AAS90021.1  97.8      100       0          1010      5134   7115   +     
AAS89999.1  AAS90022.1  96.7      100       0          4127      8711   15335  -     
AAS90000.1  AAS90023.1  96.3      100       1.46e-186  516       17022  18012  +     
AAS90001.1  AAS90024.1  96.2      100       0          3148      19318  24439  -     
AAS90002.1  AAS90025.1  96.2      100       0          3698      25152  30999  +     
AAS90003.1  AAS90026.1  93.7      100       1.22e-290  794       32263  33598  -     
AAS90004.1  AAS90027.1  96.1      100       4.76e-299  815       34338  35800  +     
AAS90005.1  AAS90028.1  94.9      100       1.02e-189  525       36371  37208  +     
AAS90006.1  AAS90029.1  95.5      100       4.55e-232  635       38127  39129  +     
AAS90007.1  AAS90040.1  97.2      100       2.12e-288  784       39419  40704  +     
AAS90008.1  AAS90030.1  100       100       5.97e-186  514       41517  42418  +     
AAS90009.1  AAS90031.1  94.9      99.8      0          964       43449  44980  +     
AAS90010.1  AAS90032.1  95.2      99.8      0          979       46034  47626  -     
AAS90011.1  AAS90033.1  98.2      100       0          985       47993  49550  -     
AAS90017.1  AAS90043.1  91.5      98.9      8.64e-183  508       50585  51434  -     
AAS90012.1  AAS90034.1  97.4      100       1.31e-281  766       51610  52945  -     
AAS90018.1  AAS90041.1  94.7      100       6.9e-291   793       54201  55688  -     
AAS90013.1  AAS90035.1  96        100       0          1067      56933  58884  +     
AAS90019.1  AAS90042.1  98.6      100       0          1274      59397  61384  +     
AAS90014.1  AAS90036.1  95.9      100       0          1004      61953  63602  -     
AAS90015.1  AAS90037.1  95.7      100       0          999       64216  65680  +     
AAS90016.1  AAS90038.1  95.9      100       2.08e-188  521       66230  67031  -     
AAS90020.1  AAS90039.1  93.7      99.6      0          956       67383  68984  -     


AY510454
========
AY510454.1
----------
Cluster 7, score 24.2891:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  AAS90044.1  94.2      100       6.65e-273  744       6861   8010   -     
AAS89997.1  AAS90045.1  86.3      100       0          911       8294   10054  +     
AAS89998.1  AAS90046.1  95.2      100       0          995       10718  12694  +     
AAS89999.1  AAS90047.1  93.7      100       0          3994      14462  21070  -     
AAS90000.1  AAS90048.1  95.9      100       1.64e-185  514       22838  23807  +     
AAS90005.1  AAS90053.1  92.9      97.1      2.94e-180  501       42120  42930  +     
AAS90006.1  AAS90054.1  94.6      100       4.19e-228  625       43888  44888  +     
AAS90007.1  AAS90055.1  94.8      100       2.54e-280  763       45178  46463  +     
AAS90008.1  AAS90056.1  98.9      100       4.03e-184  509       47284  48187  +     
AAS90009.1  AAS90057.1  94.1      100       0          960       49220  50767  +     
AAS90010.1  AAS90058.1  93.5      99.8      0          956       51844  53456  -     
AAS90016.1  AAS90064.1  90.3      100       6.33e-179  497       72460  73267  -     
AAS90020.1  AAS90068.1  90.3      99.8      0          922       73630  75223  -     


AY510455
========
AY510455.1
----------
Cluster 8, score 44.3203:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89998.1  AAS90069.1  97        100       0          1000      4801   6782   +     
AAS90000.1  AAS90070.1  97        100       2.16e-188  521       16689  17679  +     
AAS90001.1  AAS90071.1  96.1      100       0          3147      18987  24108  -     
AAS90002.1  AAS90085.1  96.2      100       0          3698      24821  30668  +     
AAS90003.1  AAS90086.1  93.7      100       1.22e-290  794       31931  33266  -     
AAS90004.1  AAS90072.1  94.7      100       4.34e-292  797       34005  35456  +     
AAS90005.1  AAS90073.1  94.9      100       1.02e-189  525       36023  36860  +     
AAS90006.1  AAS90075.1  95.2      100       5.32e-231  632       37779  38781  +     
AAS90007.1  AAS90074.1  97.4      100       1.49e-288  784       39071  40356  +     
AAS90008.1  AAS90076.1  99.6      100       1.71e-185  513       41170  42070  +     
AAS90009.1  AAS90077.1  95.1      99.8      0          964       43102  44633  +     
AAS90010.1  AAS90078.1  95.2      99.8      0          977       45687  47279  -     
AAS90011.1  AAS90079.1  98.4      100       0          986       47646  49203  -     
AAS90017.1  AAS90090.1  91.5      98.9      1.74e-182  507       50238  51087  -     
AAS90012.1  AAS90080.1  97.2      100       1.08e-280  764       51257  52592  -     
AAS90018.1  AAS90087.1  94.5      100       1.14e-289  790       53849  55336  -     
AAS90013.1  AAS90081.1  96.4      100       0          1071      56582  58533  +     
AAS90019.1  AAS90088.1  98.6      100       0          1273      59047  61034  +     
AAS90014.1  AAS90082.1  95.5      100       0          1001      61575  63224  -     
AAS90015.1  AAS90083.1  96.4      97.5      0          991       63836  65582  +     
AAS90016.1  AAS90084.1  95.1      100       6.97e-187  517       65848  66649  -     
AAS90020.1  AAS90089.1  93.7      99.6      0          951       67003  68604  -     


GCA_000006275
=============
AAIH03000181.1
--------------
Cluster 9, score 46.7240:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90020.1  AFLA_006286  93.9      96        0          910       2186340  2189096  +     
AAS90015.1  AFLA_006287  96.6      96.3      0          980       2189196  2191174  -     
AAS90014.1  AFLA_006288  95.7      100       0          1004      2191720  2193369  +     
AAS90019.1  AFLA_006289  98.6      100       0          1273      2193910  2195897  -     
AAS90013.1  AFLA_006290  96.4      100       0          1071      2196411  2198362  -     
AAS90018.1  AFLA_006291  93.8      100       2.21e-287  784       2199608  2201095  +     
AAS90012.1  AFLA_006292  95.9      100       8.12e-276  752       2202375  2203709  +     
AAS90017.1  AFLA_006293  89.4      98.9      4.57e-178  496       2203882  2204731  +     
AAS90011.1  AFLA_006295  97.8      100       0          984       2205676  2207305  +     
AAS90010.1  AFLA_006296  95.4      99.8      0          980       2207672  2209264  +     
AAS90009.1  AFLA_006298  95.5      99.8      0          969       2210318  2212022  -     
AAS90008.1  AFLA_006300  100       100       5.97e-186  514       2212880  2213781  -     
AAS90007.1  AFLA_006301  97.4      100       1.49e-288  784       2214595  2215880  -     
AAS90006.1  AFLA_006302  95.5      100       4.55e-232  635       2216170  2217172  -     
AAS90005.1  AFLA_006304  91.4      96.4      1.18e-169  475       2217953  2218928  -     
AAS90004.1  AFLA_006305  95.7      100       5.55e-298  812       2219495  2220947  -     
AAS90003.1  AFLA_006306  93.5      100       4.97e-290  792       2221685  2223020  +     
AAS90002.1  AFLA_006307  96.3      100       0          3702      2224289  2230136  -     
AAS90001.1  AFLA_006308  96.2      100       0          3148      2230511  2235970  +     
AAS90000.1  AFLA_006309  96.7      100       1.25e-187  519       2237280  2238270  -     
AAS89999.1  AFLA_006311  96.6      100       0          4125      2239959  2246583  +     
AAS89998.1  AFLA_006312  97.2      100       0          1001      2247774  2250222  -     
AAS89997.1  AFLA_006313  65.9      90.2      1.52e-185  530       2250832  2253162  -     

AAIH03000282.1
--------------
Cluster 10, score 1.0598:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS89996.1  AFLA_009597  74.1      99        2.46e-215  598       1229509  1230655  -     


GCA_000184455
=============
BA000051.1
----------
Cluster 11, score 38.3990:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90015.1  AO090026000030  95.3      100       0          994       5041795  5043325  -     
AAS90014.1  AO090026000029  95.3      100       0          1001      5043873  5045522  +     
AAS90019.1  AO090026000028  98.6      100       0          1274      5046065  5048052  -     
AAS90013.1  AO090026000027  95.8      100       0          1063      5048566  5050517  -     
AAS90018.1  AO090026000026  92.7      100       4.4e-287   783       5051762  5053249  +     
AAS90012.1  AO090026000025  97.2      100       3.09e-280  763       5054514  5055849  +     
AAS90017.1  AO090026000024  90.8      98.9      4.78e-180  501       5056026  5056875  +     
AAS90011.1  AO090026000022  97.2      100       0          980       5057911  5059468  +     
AAS90010.1  AO090026000021  94.7      99.8      0          974       5059835  5061427  +     
AAS90009.1  AO090026000020  94.5      100       0          957       5062478  5064014  -     
AAS90008.1  AO090026000019  99.6      100       2.43e-185  513       5065045  5065945  -     
AAS90006.1  AO090026000017  94.7      96.5      1.28e-220  606       5068333  5069849  -     
AAS90005.1  AO090026000016  94.6      100       8.39e-189  523       5070255  5071092  -     
AAS90004.1  AO090026000015  94.1      100       7.2e-290   791       5071653  5073104  -     
AAS90003.1  AO090026000014  93.5      100       1.66e-288  788       5073843  5075178  +     
AAS90002.1  AO090026000013  96        100       0          3692      5076456  5082303  -     
AAS90001.1  AO090026000012  95.8      100       0          3137      5082992  5088137  +     
AAS90000.1  AO090026000011  96.7      100       1.25e-187  519       5089451  5090441  -     
AAS89999.1  AO090026000009  96.7      100       0          4131      5092129  5098753  +     

BA000053.1
----------
Cluster 12, score 1.0598:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS89996.1  AO090120000379  74.1      99        2.46e-215  598       3686820  3687966  -     


GCA_000269785
=============
AKHY01000106.1
--------------
Cluster 13, score 32.6168:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90015.1  Ao3042_02184  95.3      100       0          994       124603  126133  -     
AAS90014.1  Ao3042_02185  95.3      100       0          1001      126681  128330  +     
AAS90019.1  Ao3042_02186  98.4      100       0          1273      128873  130860  -     
AAS90013.1  Ao3042_02187  95.8      100       0          1063      131374  133325  -     
AAS90018.1  Ao3042_02188  92.7      100       4.4e-287   783       134570  136057  +     
AAS90012.1  Ao3042_02189  97.2      100       3.09e-280  763       137294  138657  +     
AAS90017.1  Ao3042_02190  90.8      98.9      4.78e-180  501       138832  139681  +     
AAS90011.1  Ao3042_02191  97.2      100       0          980       140717  142274  +     
AAS90010.1  Ao3042_02192  94.9      99.8      0          975       142641  144233  +     
AAS90009.1  Ao3042_02194  94.5      100       0          957       145134  146820  -     
AAS90008.1  Ao3042_02195  100       100       5.97e-186  514       147780  148839  -     
AAS90006.1  Ao3042_02197  94.7      96.5      1.28e-220  606       151056  152656  -     
AAS90005.1  Ao3042_02198  94.6      100       8.39e-189  523       153062  153899  -     
AAS90004.1  Ao3042_02199  94.1      100       7.2e-290   791       154460  155911  -     
AAS90003.1  Ao3042_02200  93.5      100       1.66e-288  788       156650  157985  +     
AAS90001.1  Ao3042_02202  95.8      100       0          3137      165794  170939  +     
AAS90000.1  Ao3042_02203  96.7      100       1.25e-187  519       172255  173245  -     


GCA_000691885
=============
AMCJ01000074.1
--------------
Cluster 14, score 35.9855:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90000.1  AO1008_10622  96.7      100       1.25e-187  519       50721  51711  +     
AAS90001.1  AO1008_10623  95.8      100       0          3137      53026  58171  -     
AAS90002.1  AO1008_10624  96        100       0          3692      58222  64936  +     
AAS90003.1  AO1008_10625  93.5      100       1.66e-288  788       65959  67294  -     
AAS90004.1  AO1008_10626  94.1      100       7.2e-290   791       68033  69484  +     
AAS90005.1  AO1008_10627  94.6      100       8.39e-189  523       70045  70882  +     
AAS90006.1  AO1008_10628  94.7      96.5      1.28e-220  606       71288  72888  +     
AAS90008.1  AO1008_10630  100       100       5.97e-186  514       75105  76164  +     
AAS90009.1  AO1008_10631  94.5      100       0          957       77124  78810  +     
AAS90010.1  AO1008_10633  94.9      99.8      0          975       78963  81303  -     
AAS90011.1  AO1008_10634  97.2      100       0          980       81670  83227  -     
AAS90017.1  AO1008_10635  90.8      98.9      4.78e-180  501       84263  85112  -     
AAS90012.1  AO1008_10636  97.2      100       3.09e-280  763       85287  86650  -     
AAS90018.1  AO1008_10637  92.7      100       4.4e-287   783       87887  89374  -     
AAS90013.1  AO1008_10638  95.7      100       0          1058      90619  92570  +     
AAS90019.1  AO1008_10639  98.4      100       0          1273      93084  95071  +     
AAS90014.1  AO1008_10640  95.3      100       0          1001      95614  97263  -     
AAS90015.1  AO1008_10641  95.3      100       0          994       97811  99341  +     


GCA_000952835
=============
JZDT01000749.1
--------------
Cluster 15, score 32.3234:
Query       Subject            Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90005.1  AFLA70_106g003470  95.9      96.4      7.17e-183  509       1807   2782   +     
AAS90006.1  AFLA70_106g003482  95.5      100       4.55e-232  635       3534   4582   +     
AAS90007.1  AFLA70_106g003491  97.2      100       2.12e-288  784       4855   6140   +     
AAS90008.1  AFLA70_106g003492  100       100       5.97e-186  514       6953   7854   +     
AAS90009.1  AFLA70_106g003511  94.9      99.8      0          964       8712   10416  +     
AAS90010.1  AFLA70_106g003531  95.2      99.8      0          979       11395  13106  -     
AAS90011.1  AFLA70_106g003541  98.2      100       0          985       13320  15089  -     
AAS90017.1  AFLA70_106g003561  93        94.7      1.72e-178  497       15957  16870  -     
AAS90012.1  AFLA70_106g003571  97.4      100       1.31e-281  766       17001  18475  -     
AAS90018.1  AFLA70_106g003581  94.7      100       6.9e-291   793       19469  21211  -     
AAS90013.1  AFLA70_106g003590  96        100       0          1067      22195  24526  +     
AAS90019.1  AFLA70_106g003600  98.6      100       0          1274      24756  26819  +     
AAS90014.1  AFLA70_106g003611  95.9      100       0          1004      27186  29129  -     
AAS90015.1  AFLA70_106g003621  97        96.3      0          986       29506  31620  +     
AAS90016.1  AFLA70_106g003631  95.9      100       5.03e-188  521       31665  32554  -     
AAS90020.1  AFLA70_106g003632  93.7      99.6      0          956       32818  34419  -     

JZDT01000855.1
--------------
Cluster 16, score 14.3802:
Query       Subject            Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90003.1  AFLA70_210g001170  93.7      100       1.22e-290  794       974    2309   +     
AAS90002.1  AFLA70_210g001181  95.4      100       0          3688      3455   9420   -     
AAS90001.1  AFLA70_210g001191  96.2      100       0          3148      9924   15330  +     
AAS90000.1  AFLA70_210g001201  96.3      100       2.82e-186  516       16110  17604  -     
AAS89999.1  AFLA70_210g001220  96.7      100       0          4127      19237  26065  +     
AAS89998.1  AFLA70_210g001231  96.7      100       0          998       26997  29591  -     
AAS89997.1  AFLA70_210g001241  74        77.4      6.28e-187  531       30050  31479  -     


GCA_000956085
=============
JZEE01000728.1
--------------
Cluster 17, score 8.0112:
Query       Subject        Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  P875_00052992  96.9      100       8.21e-283  769       2973   4122   -     
AAS89997.1  P875_00052986  87.1      98.8      2.12e-313  879       4400   8760   +     
AAS89998.1  P875_00052986  97        100       0          1001      4400   8760   +     
AAS89999.1  P875_00052995  97.2      100       0          4152      10426  17052  -     
AAS90000.1  P875_00052988  95.6      100       6.55e-182  511       17694  19731  +     
AAS90002.1  P875_00052979  94.8      100       0          3679      26828  32674  +     

JZEE01000729.1
--------------
Cluster 18, score 14.7983:
Query       Subject        Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90004.1  P875_00052983  94.7      100       7.75e-291  794       1413   2857   +     
AAS90008.1  P875_00052984  99.6      100       2.43e-185  513       8567   9467   +     
AAS90009.1  P875_00052981  94.7      100       0          966       10326  12030  +     
AAS90011.1  P875_00052996  98.2      99.2      0          979       13081  16606  -     
AAS90019.1  P875_00052980  98.4      100       0          1276      26546  28531  +     
AAS90014.1  P875_00052993  95.3      100       0          1003      29097  30746  -     
AAS90015.1  P875_00052982  96.4      96.3      0          985       31300  33192  +     
AAS90016.1  P875_00053036  92.9      100       1.84e-182  506       33375  34176  -     
AAS90020.1  P875_00053033  94.5      99.8      0          961       34535  36128  -     


GCA_001204775
=============
JNOM01000034.1
--------------
Cluster 19, score 7.3805:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90020.1  ANOM_001649  90.3      99.8      0          922       116298  117891  +     
AAS90016.1  ANOM_001650  90.3      100       1.52e-178  497       118182  119061  +     
AAS90010.1  ANOM_001657  94.3      96        0          929       134176  139675  +     
AAS90009.1  ANOM_001659  94.1      100       0          960       140751  142474  -     
AAS90005.1  ANOM_001664  92.9      96.4      2.67e-178  497       148413  149443  -     

JNOM01000247.1
--------------
Cluster 20, score 7.6184:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89999.1  ANOM_008219  93.8      100       0          4005      20621  27441  +     
AAS89998.1  ANOM_008220  90.9      100       0          972       28945  30973  -     
AAS89997.1  ANOM_008221  80.9      58.9      1.87e-161  463       31637  32722  -     
AAS89996.1  ANOM_008223  94.2      100       6.65e-273  744       33680  34829  +     


GCA_001696595
=============
MBFL02000007.1
--------------
Cluster 21, score 1.0394:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS89997.1  BBP40_011374  41.7      99.8      2.64e-131  394       177034  178757  +     


GCA_001792695
=============
LYCR01000023.1
--------------
Cluster 22, score 8.7140:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  ABOM_002529  94        100       5.7e-274   747       6321   7470   -     
AAS89997.1  ABOM_002530  84.5      100       2.33e-317  867       7720   9483   +     
AAS89998.1  ABOM_002531  92        100       0          986       10106  12082  +     
AAS90000.1  ABOM_002534  82.3      100       3.9e-152   429       22010  22981  +     
AAS90002.1  ABOM_002536  89.4      100       0          3487      29979  35827  +     
AAS90006.1  ABOM_002541  93.6      100       1.77e-227  624       43157  44160  +     

Cluster 23, score 1.0498:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90016.1  ABOM_002556  90.6      100       2.69e-172  498       71717  74467  -     


GCA_001890805
=============
KV878926.1
----------
Cluster 24, score 1.0613:
Query       Subject           Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89996.1  ASPGLDRAFT_53268  76.5      98.2      5.13e-221  613       46908  48198  +     


GCA_002007945
=============
MKZY01000001.1
--------------
Cluster 25, score 20.9340:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90016.1  OAory_01037910  95.1      100       6.82e-179  517       4967255  4970008  +     
AAS90015.1  OAory_01037920  96.8      96.3      0          983       4970108  4972088  -     
AAS90014.1  OAory_01037930  96.1      100       0          1008      4972634  4974283  +     
AAS90019.1  OAory_01037940  98.3      100       0          1269      4974852  4976839  -     
AAS90013.1  OAory_01037950  96        100       0          1063      4977353  4979304  -     
AAS90018.1  OAory_01037960  94.7      100       2.81e-290  791       4980549  4982036  +     
AAS90012.1  OAory_01037970  96.9      100       1.26e-279  761       4983301  4984636  +     
AAS90017.1  OAory_01037980  90.8      98.9      4.78e-180  501       4984811  4985660  +     
AAS90011.1  OAory_01038000  97.6      99.2      0          977       4986696  4990167  +     
AAS90009.1  OAory_01038020  94.7      99.8      0          959       4991261  4992965  -     
AAS90008.1  OAory_01038040  99.6      100       9.9e-185   511       4993823  4994724  -     

MKZY01000009.1
--------------
Cluster 26, score 1.0598:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS89996.1  OAory_01069000  74.1      99        2.46e-215  598       849052  850198  +     


GCA_002443215
=============
NWUG02000685.1
--------------
Cluster 27, score 1.0598:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS89996.1  COH21_000092  74.1      99        2.46e-215  598       284460  285606  +     

NWUG02000948.1
--------------
Cluster 28, score 24.6934:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS89997.1  COH21_011549  69.4      77.4      5.18e-180  513       2802   4231   +     
AAS89998.1  COH21_011550  95.6      100       0          988       4843   6824   +     
AAS89999.1  COH21_011551  95.7      100       0          4070      8211   15043  -     
AAS90000.1  COH21_011553  97        100       2.16e-188  521       16730  18299  +     
AAS90001.1  COH21_011554  96.1      100       0          3147      19028  24487  -     
AAS90002.1  COH21_011555  95.4      100       0          3688      24862  30709  +     
AAS90003.1  COH21_011556  93.7      100       1.22e-290  794       31972  33307  -     
AAS90004.1  COH21_011557  95.4      100       9.19e-297  809       34046  35523  +     
AAS90005.1  COH21_011558  91.4      96.4      1.18e-169  475       36064  37039  +     
AAS90006.1  COH21_011560  95.2      100       5.32e-231  632       37820  38822  +     
AAS90007.1  COH21_011561  97.4      100       1.49e-288  784       39112  40586  +     
AAS90008.1  COH21_011562  99.6      100       1.71e-185  513       41198  42253  +     

